Original Docket Text,Removed unnecessary POS & vocab,Removed unnecessary POS & vocab DT,DT Topics,Apply Trigram Phrase Model
"MOTION to Dismiss Plaintiff's Complaint purs. to FRCP 12(b)(6) for failure to state a cause of action. Document filed by 7 World Trade Center Company, L.P., Silverstein Properties, Inc., Swanke Hayden Connell Arche, Ambassador Construction Co., Inc., Cosentini Associates Inc., Cantor Seinuk Group, P.C., H.O. Penn Machinery Co., Inc., Kaback Enterprises, Preferred Utilities Manufacturing Corp., Electric Power Systems, Inc., American Power Technologies, Inc., G.C. Engineering & Associates, P.C., Tishman Construction Corporation, Firecom Inc., Fiberlock Technologies, Inc., Rosebwach Tank Co., Inc., All Fire Systems, Inc., Syska & Hennessy Group, Inc., Skidmore Owings and Merrill, L.L.P., Flack & Kurtz, Inc., ABCO Peerless Sprinkler Corporation, AMEC, PLC, Office of Irwin G. Cantor, P.C., Ambassador Construction Co., Inc.. (ae, ) (Entered: 04/26/2005)",motion dismiss complaint purs failure cause p c h g c engineering associate p c office p c inc,,"Complaints, Motions",
"MEMORANDUM OF LAW in Support re: 121 MOTION to Dismiss. Document filed by 7 World Trade Center Company, L.P.. (ae, ) (Entered: 04/26/2005)",memorandum law support motion dismiss l p,,"Other Answers, Motions",
"THIRD DECLARATION of Beth D. Jacob in Support re: 121 MOTION to Dismiss Plaintiffs' Complaint for failure to state a cause of action, purs. to FRCP 12(b)(6). Document filed by WTC7 Ground Defendants.(Orig. doc. filed in case no. 02 cv 7188, as doc. #42)(ae, ) (Entered: 04/26/2005)",third declaration support motion dismiss complaint failure cause purs wtc7 ground,,"Complaints, Other Answers, Motions",
"MOTION to Dismiss the Amended Complaint. Document filed by Electric Power Systems, Inc.. Affidavit of Anthony F. Tagliagambe in support attached. (sac, ) (Entered: 05/06/2005)",motion dismiss amend complaint inc affidavit support,,"Complaints, Motions",
"MEMORANDUM OF LAW in Support re: 128 MOTION to Dismiss. Document filed by Electric Power Systems, Inc.. (sac, ) (Entered: 05/06/2005)",memorandum law support motion dismiss inc,,"Other Answers, Motions",
"RULE 7.1 DISCLOSURE STATEMENT. Document filed by Skidmore Owings and Merrill, L.L.P..(jp, ) (Entered: 05/03/2005)",rule disclosure l l p,rule disclosure l l p,,l l_p
"ORDER REGULATING DISCOVERY INSTRUCTIONS AND BRIEFING SCHEDULE;.. the following discovery instructions and schedule for briefing the City's motion to dismiss are ordered as set forth in this Order;... May 9, 2004 - cut off date for the City to designate and schedule depositions of any witnesses on whom it intends to rely; June 15, 2005 - filing of motion and brief by the CIty; June 27, 2005 - filing of response by plaintiffs' July 8, 2005 - Filing of Reply brief; July 22, 2005 - oral argument at 1:00 p.m. at 500 Pearl Street, NY, NY, courtroom 14D. Seee document for further discovery deadlines; (Signed by Judge Alvin K. Hellerstein on 5/4/05) (djc, ) (Entered: 05/06/2005)",order regulate discovery instruction brief schedule discovery instruction schedule brief city motion dismiss order order cut city schedule deposition intend rely motion brief city response reply brief oral argument p pearl street courtroom seee discovery deadline,,"Other Answers, Answers to Complaints, Motions",
"ORDER REGULATING DISCOVERY INSTRUCTIONS AND BRIEFING SCHEDULED (Signed by Judge Alvin K. Hellerstein on 5/4/05) (pl, ) (Entered: 05/06/2005)",order regulate discovery instruction brief schedule,order regulate discovery instruction brief schedule,,order regulate discovery instruction brief schedule
"STIPULATION AND ORDER that the caption of this action is amended to substitute AMEC Construction Management formerly known as Monroe Diesel International, Inc. in place and instead of AMEC PLC; AMEC Construction Management Inc. agrees to accept service of and is deemed to have been served with plaintiff's summons and amended complaint in the initial time of service; this stipulation is without prejudice to plaintiffs refiling those causes of action alleged in their complaint against AMEC PLC if plaintiffs determine that one or more these causes of action are cognizable with respect to AMEC PLC. (Signed by Judge Alvin K. Hellerstein on 5/4/05) (dle, ) (Entered: 05/09/2005)",stipulation order caption amend substitute formerly know place instead agree accept service deem served summons amend complaint initial service stipulation without prejudice refiling cause allege complaint determine cause cognizable,,"Complaints, Others, Service of Process",
"NOTICE OF MOTION to Dismiss Amended Complaint pursuant to F.R.C.P. 12(b)(5)and (6). Document filed by Cosentini Associates Inc.. (mde, ) (Entered: 05/17/2005)",notice motion dismiss amend complaint f r c p inc,,"Notices, Complaints, Motions",
"MEMORANDUM OF LAW in Support re: 131 MOTION to Dismiss.. Document filed by Cosentini Associates Inc.. (mde, ) (Entered: 05/17/2005)",memorandum law support motion dismiss inc,,"Other Answers, Motions",
"NOTICE OF MOTION to Dismiss Amended Complaint. Document filed by Electric Power Systems, Inc.. (mde, ) (Entered: 05/17/2005)",notice motion dismiss amend complaint inc,,"Notices, Complaints, Motions",
"MEMORANDUM OF LAW in Support re: 133 MOTION to Dismiss.. Document filed by Electric Power Systems, Inc.. (mde, ) (Entered: 05/17/2005)",memorandum law support motion dismiss inc,,"Other Answers, Motions",
"RE-NOTICE OF MOTION to Dismiss and to Quash Service of Process. Document filed by American Power Technologies, Inc.. (mde, ) (Entered: 05/17/2005)",renotice motion dismiss quash service process inc,,"Service of Process, Motions",
"REPLY MEMORANDUM OF LAW. Document filed by Electric Power Systems, Inc. (jco, ) (Entered: 06/10/2005)",reply memorandum law,,Other Answers,
"FILING ERROR - ELECTRONIC FILING FOR NON-ECF CASE - ANSWER to Complaint with JURY DEMAND. Document filed by Centifugal Associates, Inc.. (Attachments: # 1 # 2)(Kendric, Christopher) Modified on 7/18/2005 (gf, ). (Entered: 06/08/2005)",electronic nonecf answer complaint jury demand inc,,"Complaints, Answers to Complaints",
"MEMORANDUM OF LAW in Opposition to Cross-Motion to extend the time for sevice and in reply to opposition to Consentini's motion to dismiss. Document filed by Cosentini Associates Inc. (jco, ) (Entered: 06/15/2005)",memorandum law opposition crossmotion extend sevice reply opposition motion dismiss,,"Other Answers, Motions",
"MOTION for Richard B. Kirby to Appear Pro Hac Vice. Annexed, declaration of Thomas P. Mohen and affirmation of Richard B. Kirby. Document filed by Fiberlock Technologies, Inc. (kw, ) (Entered: 06/22/2005)",motion appear pro hac vice annex declaration affirmation,,"Other Answers, Motions",
"MEMORANDUM AND ORDER; The motion to quash service of process is denied, and plaintiffs' cross-motion to amend the amended complaint to substitute Johnson Controls for APT is granted. (Signed by Judge Alvin K. Hellerstein on 6/28/05) (orig. docm filed in 21 MC 101, document #20) (djc, ) (Entered: 06/29/2005)",memorandum order motion quash service process deny crossmotion amend amend complaint substitute control apt grant,,"Complaints, Service of Process, Other Answers, Motions",
"SUMMARY ORDER denying 131 Motion to Dismiss that Deft. Cosentini Associates, Inc.'s Motion to Dismiss the Amended Complaint due to alleged defects in service of process is denied. I reserve decision on all other motions. This Document entered as Document No. 23 in 21 MC 101. (Signed by Judge Alvin K. Hellerstein on 6/27/05) (rjm, ) (Entered: 07/05/2005)",summary order deny motion dismiss deft motion dismiss amend complaint due allege defect service process deny reserve decision motion mc,,"Complaints, Service of Process, Motions",
"STIPULATION AND ORDER OF DISMISSAL WITH PREJUDICE AS TO DEFENDANT ROSENWACH TANK COMPANY, INC. ONLY. The parties execute this stipulation of dismissal with prejudice with the understanding that litigation and discovery will continue against the other parties in this action and that Aegis will continue to conduct litigation and discovery in a good faith effort to examine potential claims which may exist against Rosenwach Tank Co., Inc. The running of any statute of limitations, laches, repose, notice requirements, scheduling orders, or other limitations period shall be suspended and tolled, indefinitely, and Aegis will have the right to recommence this action against Rosenwach Tank, Co., Inc. if the information and/or representations contained in the affidavit of Andrew Rosenwach is materially inaccurate. Accrual of interest on any amount ultimately to be awarded to Aegis/ConEd from the Rosenwach Tank Co., Inc. with respect to the claims, if any, shall not be suspended during the effective term of this stipulation in the event an action is recommenced against Rosenwach Tank Co., Inc. (Signed by Judge Alvin K. Hellerstein on 7/1/05) (yv, ) (Entered: 07/12/2005)",stipulation order dismissal prejudice rosenwach tank company inc execute stipulation dismissal prejudice understand litigation discovery continue continue conduct litigation discovery good faith effort examine potential exist run statute limitation laches repose notice requirement schedule order limitation period suspend toll indefinitely right recommence representation contain affidavit materially inaccurate accrual interest ultimately award aegis con suspend effective term stipulation event recommence,,"Notices, Others",
"***NOTE TO ATTORNEY TO RE-FILE DOCUMENT - NON-ECF CASE ERROR. Note to Attorney Christopher Kendric to MANUALLY RE-FILE Document Answer to the Complaint, Document No. 136. This case is not ECF. (gf, ) (Entered: 07/18/2005)",note refile nonecf note manually refile answer complaint,,"Complaints, Answers to Complaints",
"ANSWER to Complaint with JURY DEMAND. Document filed by Centifugal Associates, Inc..(jmi, ) (Entered: 07/21/2005)",answer complaint jury demand inc,,"Complaints, Answers to Complaints",
"RULE 7.1 DISCLOSURE STATEMENT. Document filed by Centifugal Associates, Inc.(yv, ) (Entered: 07/26/2005)",rule disclosure,rule disclosure,,
"TRANSCRIPT of Proceedings re: Corrected Transcript held on 6/21/2005 before Judge Alvin K. Hellerstein. Court Reporter/Transcriber: Samuel Mauro, (212) 805-0300. (ad) (Entered: 02/03/2012)",correct hold reporter transcriber,correct hold reporter transcriber,,correct hold reporter transcriber
"ORDER Regulating Supplemental Briefing Schedule: The Port Authority of New York and New Jersey and other parties have requested leave to make supplemental submissions concerning Citigroup's motion to dismiss the complaint against it based on its status a third-party beneficiary of the lease between Con Edison and the Port Authority. Parties shall serve and file any submissions by 9/20/05. Any responses to these submissions shall be served and filed by 9/23/05. The record shall be closed on 9/23/05 at 5:00 p.m. (Signed by Judge Alvin K. Hellerstein on 9/12/05) (kw, ) (Entered: 09/16/2005)",order regulate supplemental briefing schedule new york new jersey request leave supplemental motion dismiss complaint base status thirdparty beneficiary lease serve response serve p,,"Complaints, Others, Other Answers, Answers to Complaints, Motions",
"Supplemental Submissiono Deft The Port Authority of NY and NJ on Motion to Dismiss of deft Citigroup. Document filed by The Port Authority of NY and NJ. (orig fld in 21 MC 101, doc #33) (cd, ) (Entered: 10/03/2005)",supplemental submissiono deft nj motion dismiss deft nj,,Motions,
"DECLARATION of John E. Becker re Supplemental Submission of The Port Authority of NY and NJ on Motion to Dismiss of deft Citigroup. (orig fld in 21 MC 101, doc #34). (cd, ) (Entered: 10/03/2005)",declaration supplemental nj motion dismiss deft,,"Other Answers, Motions",
"REPLY to the Supplemental Submission of The Port Authority of New York and New Jersey. Document filed by Citigroup, Inc., Citigroup Global Markets Holdings Inc., Salomon Smith Barney Holdings, Inc., Salomon Inc.. (sac, ) (Entered: 09/28/2005)",reply supplemental new york new jersey inc,,Other Answers,
"DECLARATION of Thomas J. Moloney in Support re: 144 REPLY to the Supplemental Submission of The Port Authority of New York and New Jersey. Document filed by Citigroup, Inc., Citigroup Global Markets Holdings Inc., Salomon Smith Barney Holdings, Inc., Salomon Inc.. (sac, ) (Entered: 09/28/2005)",declaration support reply supplemental new york new jersey inc,,Other Answers,
"Notice Adopting Master Answer of Dfts United Air Lines, Inc. and UAL Corporation. Document filed by UAL Corporation, United Airlines, Inc..(dle, ) (Entered: 12/02/2005)",notice adopt answer inc,,"Notices, Answers to Complaints",
"Dft The Boeing Company's Notice of Adoption of Master Answer to Fifth Amended Master Property Complaint Against Airline nad Security Company Dfts. Document filed by Boeing Co..(dle, ) (Entered: 12/05/2005)",dft notice adoption answer co,,"Notices, Answers to Complaints",
"Notice Adopting Master Answer of defendant Colgate Air, Inc. to Propert Plaintiffs' Fifth Amended Master Liability Complaint. Document filed by Colgan Air, Inc. Related document: 101 Amended Complaint.(db, ) (Entered: 12/05/2005)",notice adopt answer fifth amend liability complaint amend complaint,,"Notices, Complaints, Answers to Complaints",
"NOTICE ADOPTING ANSWER of Defendants AMR Corporation and American Airlines, Inc. to the Fifth Amended Master Property Complaint Against the Airlines and Security Company Defendants. Document filed by AMR Corporation, American Airlines, Inc..(jmi, ) (Entered: 01/18/2006)",notice adopt answer inc,,"Notices, Answers to Complaints",
"Notice Adopting Master Property Answer of defendant ICTS International, N.V.Document filed by ICTS International NV. Related document: 101 Amended Complaint.(db, ) (Entered: 12/07/2005)",notice adopt property answer n v amend complaint,,"Notices, Complaints, Answers to Complaints",
"OPINION AND ORDER; For the reasons stated, the motion of the City of New York to dismiss theComplaint in 02 Civ. 7188 is granted, and the motion of the Port Authority to dismiss thesame is denied in part and granted in part. The Port Authority remains as a defendant in02 Civ. 7188 as to Count One alleging negligenCE... (Signed by Judge Alvin K. Hellerstein on 1/12/2006) Filed In Associated Cases: 1:21-mc-00101-AKH,1:02-cv-07188-AKH,1:04-cv-07272-AKH(kkc, ) (Entered: 01/12/2006)",opinion order reason motion city new york dismiss thecomplaint grant motion dismiss thesame deny part grant part in02 count allege negligence,,Motions,
"FILING ERROR - ELECTRONIC FILING IN NON-ECF CASE - MOTION for Reargument with accompanying Memorandum of Law. Document filed by Aegis Insurance Services, Inc.. (Attachments: # 1 # 2)(Antin, Mark) Modified on 1/30/2006 (kg, ). (Entered: 01/27/2006)",electronic nonecf motion reargument accompany memorandum inc,,Other Answers,
"FILING ERROR - ELECTRONIC FILING IN NON-ECF CASE - MOTION for Reargument with accompanying Memorandum of Law. Document filed by Aegis Insurance Services, Inc.. (Attachments: # 1 # 2)Filed In Associated Cases: 1:21-mc-00101-AKH,1:02-cv-07188-AKH,1:04-cv-07272-AKH(Antin, Mark) Modified on 1/30/2006 (kg, ). Modified on 1/31/2006 (kg). (Entered: 01/27/2006)",electronic nonecf motion reargument accompany memorandum inc,,Other Answers,
"***NOTE TO ATTORNEY TO RE-FILE DOCUMENT - NON-ECF CASE ERROR. Note to Attorney Mark L. Antin to MANUALLY RE-FILE Document Motion for Reargument, Document No. 152. This case is not ECF. (kg) (Entered: 01/31/2006)",note refile nonecf note manually refile motion reargument,note refile nonecf note manually refile motion reargument,,note refile nonecf note manually refile motion reargument
